nama_sekolah,jenis_sekolah,alamat,kelurahan,kecamatan,latitude,longitude,jumlah_siswa,kontak,kepala_sekolah
SMA Negeri 1 Bandar Lampung,SMA,Jl. Diponegoro No. 1,Tanjung Karang Pusat,Tanjung Karang,-5.3971,105.2671,850,0721-123456,Drs. Ahmad Syaiful
SMA Negeri 2 Bandar Lampung,SMA,Jl. Sultan Agung No. 5,Rawa Laut,Bandar Lampung,-5.3841,105.2801,920,0721-234567,Dra. Siti Nurhaliza
SMA Negeri 3 Bandar Lampung,SMA,Jl. Jendral Sudirman No. 12,Kota Karang,Tanjung Karang,-5.3921,105.2721,780,0721-345678,Drs. Bambang Sutrisno
SMA Negeri 4 Bandar Lampung,SMA,Jl. Ahmad Yani No. 20,Way Halim,Labuhan Ratu,-5.4001,105.2651,650,0721-456789,Dra. Endang Sulistyowati
SMA Negeri 5 Bandar Lampung,SMA,Jl. Pattimura No. 15,Segala Mider,Teluk Betung Barat,-5.3881,105.2741,720,0721-567890,Drs. Hendra Wijaya
SMA Swasta Xaverius 1,SMA,Jl. Soekarno No. 8,Way Halim,Labuhan Ratu,-5.3951,105.2781,520,0721-678901,Drs. Budi Prasetyo
SMA Swasta Xaverius 2,SMA,Jl. Imam Bonjol No. 25,Teluk Betung Selatan,Teluk Betung Selatan,-5.4151,105.2481,480,0721-789012,Sr. Maria Goretti
SMA Swasta Al-Azhar,SMA,Jl. Wr. Supratman No. 33,Kemiling,Kemiling,-5.3701,105.2901,390,0721-890123,Dr. H. Zamzami
SMA Swasta PGII,SMA,Jl. Raden Inten II No. 42,Kampung Baru,Teluk Betung Utara,-5.3561,105.2721,450,0721-901234,Drs. Suryo Hadisaputro
SMA Swasta Buana Harapan,SMA,Jl. Gatot Subroto No. 55,Rajabasa,Rajabasa,-5.4251,105.2501,320,0721-012345,Drs. Sukarno
SMK Negeri 1 Bandar Lampung,SMK,Jl. Sentot Alibasa No. 10,Tanjung Karang Pusat,Tanjung Karang,-5.3981,105.2661,1050,0721-123457,Drs. Suharno
SMK Negeri 2 Bandar Lampung,SMK,Jl. Diponegoro No. 88,Tanjung Karang Timur,Tanjung Karang,-5.3761,105.2881,920,0721-234568,Drs. Dian Wijaya
SMK Negeri 3 Bandar Lampung,SMK,Jl. Soekarno No. 77,Way Halim,Labuhan Ratu,-5.3941,105.2791,850,0721-345679,Ir. Gatot Widodo
SMK Swasta Telkom,SMK,Jl. Gatot Subroto No. 45,Teluk Betung Selatan,Teluk Betung Selatan,-5.4131,105.2501,650,0721-456780,Drs. Hari Santoso
SMK Swasta Tunas Harapan,SMK,Jl. Jendral Yani No. 60,Kemiling,Kemiling,-5.3681,105.2921,580,0721-567891,Dra. Sulastri
SMK Swasta Pratama,SMK,Jl. Imam Bonjol No. 35,Labuhan Ratu Lama,Labuhan Ratu,-5.3851,105.2631,420,0721-678902,Drs. Suwarno
SMK Swasta Kusuma,SMK,Jl. Wr. Supratman No. 50,Kampung Baru,Teluk Betung Utara,-5.3581,105.2741,510,0721-789013,Drs. Bambang Irawan
SMK Swasta Merdeka,SMK,Jl. Soemitro No. 25,Rajabasa,Rajabasa,-5.4231,105.2521,380,0721-890124,Drs. Subandi
